data;id;command
2023-01-16;281015946;/start
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;/default
2023-01-16;281015946;/default
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;privet
2023-01-16;281015946;privet
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;error
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;error
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;error
2023-01-16;281015946;when you born?
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;when you born?
2023-01-16;281015946;when you born?
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;when Lenin V.I. born?
2023-01-16;281015946;when Lenin V.I. born?
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;are you sure? I think you wrong
2023-01-16;281015946;are you sure? I think you wrong
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;may he born on 1870?
2023-01-16;281015946;may he born on 1870?
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;when Lenin born?
2023-01-16;281015946;when Lenin born?
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;are you sure about this date?
2023-01-16;281015946;are you sure about this date?
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;I think you wrong - wikipedia tells about other date
2023-01-16;281015946;I think you wrong - wikipedia tells about other date
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;python code for chatgpt return images
2023-01-16;281015946;python code for chatgpt return images
2023-01-16;281015946;/help
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;/start
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;/start
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;/start
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;/start
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;/start
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;/start
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;/start
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;/start
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;russia
2023-01-16;281015946;russia
2023-01-16;281015946;/start
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;russia
2023-01-16;281015946;russia
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;/1
2023-01-16;281015946;/1
2023-01-16;281015946;/start
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;/1
2023-01-16;281015946;/1
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;/start
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;Maxim Z, please choose command from the menu
2023-01-16;281015946;/start
